VBB,VB,VCC,IB,VC,IC
1.357422,0.554199,0.006104,8.E-06,0.006104,0.00E+00
1.422119,0.621338,0.198975,8.E-06,0.073242,2.68E-04
1.448974,0.64331,0.397949,8.E-06,0.101318,6.31E-04
1.459961,0.655518,0.596924,8.E-06,0.128174,9.97E-04
1.468506,0.662842,0.795898,8.E-06,0.195312,1.28E-03
1.469726,0.666504,0.996094,8.E-06,0.349121,0.001377
1.473389,0.667725,1.195068,8.E-06,0.426025,0.001636
1.472168,0.668945,1.395264,8.E-06,0.612793,0.001665
1.473389,0.670166,1.59668,8.E-06,0.915527,0.001449
1.473389,0.672607,1.796875,8.E-06,1.107178,0.001467
1.479492,0.672607,1.995849,8.E-06,1.296387,0.001488
1.478271,0.673828,2.196045,8.E-06,1.489258,0.001504
1.478271,0.675049,2.39624,8.E-06,1.683349,0.001517
1.477051,0.676269,2.597656,8.E-06,1.875,0.001538
1.478271,0.67749,2.796631,8.E-06,2.065429,0.001556
1.483154,0.67749,2.996826,8.E-06,2.25708,0.001574
1.479492,0.678711,3.1958,8.E-06,2.445068,0.001597
1.484375,0.679932,3.395996,8.E-06,2.626953,0.001636
1.485596,0.681152,3.597412,8.E-06,2.8125,0.00167
1.484375,0.682373,3.796386,8.E-06,2.999267,0.001696
1.484375,0.683594,3.996582,8.E-06,3.044433,0.002026
1.486816,0.683594,4.197998,8.E-06,3.221435,0.002078
1.489258,0.683594,4.395752,8.E-06,3.391113,0.002138
1.488037,0.684814,4.595947,8.E-06,3.728027,0.001847
1.490478,0.684814,4.796142,8.E-06,3.902587,0.00190
1.489258,0.686035,4.995117,8.E-06,3.997802,0.002122
