VBB,VB,VC,IB
0.008545,0.308838,4.000244,-0.003003
0.196533,0.461426,3.997802,-0.002649
0.395508,0.528564,4.001464,-0.001331
0.599365,0.549316,4.000244,0.0005
0.79834,0.559082,3.999023,0.002393
0.998535,0.565185,3.999023,0.004333
1.19751,0.570068,4.001464,0.006274
1.398926,0.574951,3.997802,0.00824
1.5979,0.579834,4.000244,0.010181
1.796875,0.583496,4.001464,0.012134
1.99707,0.585937,4.001464,0.014111
2.197265,0.5896,4.001464,0.016077
2.397461,0.592041,4.001464,0.018054
2.598877,0.594482,4.000244,0.020044
2.797851,0.596924,4.001464,0.022009
2.998047,0.599365,4.000244,0.023987
3.198242,0.601807,4.001464,0.025964
3.399658,0.603027,3.999023,0.027966
